ASN,ORGANIZATION,SOURCE,ASOF_DATE
271080,LEANDRO DINIZ DA COSTA,PeeringDB,2024-05-23
271080,SPACE NET TELECOM,PeeringDB,2024-05-23
269814,PROLUX COMSER,PeeringDB,2024-05-23
269814,PROFIBRA,PeeringDB,2024-05-23
198304,Pigeon Telecom,PeeringDB,2024-05-23
198304,GugeNET,PeeringDB,2024-05-23
14629,PFCS Corporation,PeeringDB,2024-05-23
202707,omnidat,PeeringDB,2024-05-23
38644,KANDANET,PeeringDB,2024-05-23
62887,Whitesky Communications AS62887,PeeringDB,2024-05-23
62887,Whitesky Communications LLC,PeeringDB,2024-05-23
62886,OMNITEL,PeeringDB,2024-05-23
62886,OmniTel Communications Inc,PeeringDB,2024-05-23
208434,Martin Jahn,PeeringDB,2024-05-23
212106,Dimitri Broux,PeeringDB,2024-05-23
212106,DB,PeeringDB,2024-05-23
58212,Dataforest,PeeringDB,2024-05-23
58212,dataforest,PeeringDB,2024-05-23
400529,"Infraly, LLC",PeeringDB,2024-05-23
400529,Infraly LLC DBA Hosturly & Buildurly,PeeringDB,2024-05-23
268638,Conect Turbo Telecom Eireli-Me,PeeringDB,2024-05-23
268638,CT Telecom,PeeringDB,2024-05-23
268635,FIBER UP TELECOM EIRELI,PeeringDB,2024-05-23
268142,BYTE SHOP INTERNET,PeeringDB,2024-05-23
264196,RoraimaNET Telecomunicacoes,PeeringDB,2024-05-23
264196,RoraimaNET Telecomunicações,PeeringDB,2024-05-23
400521,Omni Fiber AS400521,PeeringDB,2024-05-23
264191,Temais Telecom,PeeringDB,2024-05-23
264192,Interligado Telecom,PeeringDB,2024-05-23
264193,MASTER TELECOM,PeeringDB,2024-05-23
264193,Master Telecom,PeeringDB,2024-05-23
13058,serve-u,PeeringDB,2024-05-23
13058,FMT32.net (and formerly AS204786),PeeringDB,2024-05-23
23777,NTT BUSINESS SOLUTIONS CORPORATIONS(VIPA),PeeringDB,2024-05-23
23777,VIPALETTE-FUKUI,PeeringDB,2024-05-23
13054,FreiNet,PeeringDB,2024-05-23
33507,NTS LASCRUCES,PeeringDB,2024-05-23
212109,Squirrel Internet,PeeringDB,2024-05-23
212109,Squirrel,PeeringDB,2024-05-23
33854,nLighten UK - Host-IT Anycast,PeeringDB,2024-05-23
149754,Global Citra Teknologi,PeeringDB,2024-05-23
149754,globalcitra.id,PeeringDB,2024-05-23
18705,BlackBerry,PeeringDB,2024-05-23
18705,Research In Motion,PeeringDB,2024-05-23
18705,RIM,PeeringDB,2024-05-23
50311,Gloman,PeeringDB,2024-05-23
398712,ISPCONNECTED,PeeringDB,2024-05-23
398712,ISP CONNECTED,PeeringDB,2024-05-23
41564,Packet Exchange AS41564,PeeringDB,2024-05-23
264996,SERVLINK TELECOM,PeeringDB,2024-05-23
264996,SERVLINK,PeeringDB,2024-05-23
264997,Direct Telecom,PeeringDB,2024-05-23
264997,Direct Telecom Ltda,PeeringDB,2024-05-23
41560,UGMK-Telecom LLC,PeeringDB,2024-05-23
41560,UGMK Telecom,PeeringDB,2024-05-23
264993,NETLIDERES - PROVEDOR DE INTERNET EIRELI,PeeringDB,2024-05-23
44141,Devclic,PeeringDB,2024-05-23
44141,AS-DEVCLIC,PeeringDB,2024-05-23
211869,Nicholis du Toit,PeeringDB,2024-05-23
211869,TrueWinter,PeeringDB,2024-05-23
