ASN,ORGANIZATION,SOURCE,ASOF_DATE
62715,Code42,PCH,2024-05-24
16097,HL komm Telekommunikations GmbH,PCH,2024-05-24
32934,Facebook Inc.,PCH,2024-05-24
50010,Ooredoo Oman,PCH,2024-05-24
9264,ASNet,PCH,2024-05-24
50083,iSea NV,PCH,2024-05-24
13101,TNG Stadtnetz GmbH,PCH,2024-05-24
8781,Ooredoo Q.P.S.C.,PCH,2024-05-24
12389,PROSTELECOM JSC,PCH,2024-05-24
5398,AS5398,PCH,2024-05-24
57724,IQWeb FZ-LLC,PCH,2024-05-24
9115,Hostopia,PCH,2024-05-24
33891,AS33891 Netzbetrieb GmbH,PCH,2024-05-24
4766,Korea Telecom Corp.,PCH,2024-05-24
39704,CJ2 Hosting,PCH,2024-05-24
197000,Ripe NCC,PCH,2024-05-24
22822,Edgio Netherlands B.V.,PCH,2024-05-24
25455,Guardfox SRL,PCH,2024-05-24
34141,IN2IP B.V.,PCH,2024-05-24
28917,Fiord Networks AUB,PCH,2024-05-24
33915,Vodafone Libertel B.V.,PCH,2024-05-24
1273, Vodafone Carrier Services,PCH,2024-05-24
6908,Six Degrees Technology Group Ltd.,PCH,2024-05-24
61254,Estoxy OU,PCH,2024-05-24
15557,SFR,PCH,2024-05-24
49685,Signet BV,PCH,2024-05-24
49453,Hurricane Electric,PCH,2024-05-24
44788,Criteo,PCH,2024-05-24
3216,VimpelCom PJSC,PCH,2024-05-24
29802,"Hivelocity, Inc.",PCH,2024-05-24
25151,CYSO,PCH,2024-05-24
31500,Global Network Management Ltd,PCH,2024-05-24
31529,DENIC eG,PCH,2024-05-24
31122,Viatel,PCH,2024-05-24
6453,Tata Communications (Netherlands) B.V.,PCH,2024-05-24
8764,"TEO LT, AB",PCH,2024-05-24
209181,Zenex 5ive Limited,PCH,2024-05-24
14907,Wikimedia Foundation Inc,PCH,2024-05-24
13122,Manx Telecom Ltd,PCH,2024-05-24
9050,Orange Romania Communications S.A.,PCH,2024-05-24
199995,"Omega Telecom, LLC",PCH,2024-05-24
59865,iVent Mobile,PCH,2024-05-24
8359,MTS PJSC,PCH,2024-05-24
58138,Korton Computer Communication B.V.,PCH,2024-05-24
2119,Telenor Norge AS,PCH,2024-05-24
201971,CREEPERHOST LTD,PCH,2024-05-24
208844,VTech Electronics Europe BV,PCH,2024-05-24
41095,IPTP Networks ,PCH,2024-05-24
51276,Bickton OU,PCH,2024-05-24
47869,Netrouting,PCH,2024-05-24
38915,Gemeente Heerlen,PCH,2024-05-24
207063,Kentik Technologies Inc.,PCH,2024-05-24
8447,Telekom Austria,PCH,2024-05-24
9902,NeocomISP Limited (NTC),PCH,2024-05-24
3320,Deutsche Telekom AG,PCH,2024-05-24
42385,"JSC ""MSK-IX""",PCH,2024-05-24
5713,Telkom SA,PCH,2024-05-24
1239,SprintLink Netherlands B.V.,PCH,2024-05-24
9002,RETN,PCH,2024-05-24
8365,"TU Darmstadt, Hochschulrechenzentrum",PCH,2024-05-24
1104,NIKHEF,PCH,2024-05-24
29990,AppNexus Inc.,PCH,2024-05-24
41692,OpenCarrier eG,PCH,2024-05-24
202425,IP Volume Inc.,PCH,2024-05-24
