ASN,ASN_NAME,SOURCE,ASOF_DATE
266816,AS266816,PeeringDB,2024-05-23
47217,AS-PLANETEL,PeeringDB,2024-05-23
23504,AS-SPEAKEASY,PeeringDB,2024-05-23
141776,AS-BAOSHUO,PeeringDB,2024-05-23
51826,AS51826:AS-EVROC,PeeringDB,2024-05-23
263339,RADB::AS-3WLINK-CDN,PeeringDB,2024-05-23
150096,AS-150096:AS-GEFO,PeeringDB,2024-05-23
27618,AS-QUICKSTREAM,PeeringDB,2024-05-23
211635,RIPE::AS-211635-SET,PeeringDB,2024-05-23
329028,AS-329028,PeeringDB,2024-05-23
48266,AS48266:AS-CATIXS,PeeringDB,2024-05-23
39591,AS-GLOBAL-E,PeeringDB,2024-05-23
133278,AS133278:AS-ENETSOLS,PeeringDB,2024-05-23
141773,AS141773:AS-PEERS,PeeringDB,2024-05-23
262741,AS262741:AS-ANNOUNCEMENTS,PeeringDB,2024-05-23
39598,AS-TIERA,PeeringDB,2024-05-23
32621,AS-TCVTRANSIT,PeeringDB,2024-05-23
31230,AS-SIXSK-SETS AS-SIXSK-SETS-V6,PeeringDB,2024-05-23
207320,AS-GETMYSERV,PeeringDB,2024-05-23
31236,AS-RVK,PeeringDB,2024-05-23
216441,RIPE::AS216441:AS-PLABS,PeeringDB,2024-05-23
213372,AS-FILTIWANNETWORK,PeeringDB,2024-05-23
7181,AS-TP7181,PeeringDB,2024-05-23
202032,RIPE::AS-GOLINE,PeeringDB,2024-05-23
29432,AS29432:AS-PEERING,PeeringDB,2024-05-23
29104,AS-THALES,PeeringDB,2024-05-23
29107,AS-SYNAPSE,PeeringDB,2024-05-23
401017,AS-AAICE,PeeringDB,2024-05-23
207863,AS-ARACHNID,PeeringDB,2024-05-23
12833,AS-GIGAPIX-RS,PeeringDB,2024-05-23
268858,AS268858,PeeringDB,2024-05-23
213373,AS-IPCONN,PeeringDB,2024-05-23
131691,APNIC::AS-131691,PeeringDB,2024-05-23
24519,AS24519:AS-SET-KUSUMA-ID,PeeringDB,2024-05-23
34554,AS-ANTANET,PeeringDB,2024-05-23
34555,RIPE::AS-CCSLEEDS,PeeringDB,2024-05-23
8015,AS8015:AS-ONENECK-EDP,PeeringDB,2024-05-23
8546,AS-YOURCOMMS,PeeringDB,2024-05-23
15280,RS-HOSTLEASING,PeeringDB,2024-05-23
8542,AS-BKKB,PeeringDB,2024-05-23
26627,AS-PILOSOFT,PeeringDB,2024-05-23
26622,AS26622,PeeringDB,2024-05-23
199699,AS199699:AS-GAMIT,PeeringDB,2024-05-23
132054,AS132054,PeeringDB,2024-05-23
46562,AS-COLOAT,PeeringDB,2024-05-23
133838,AS133838:INFOTEK-AS-ID,PeeringDB,2024-05-23
7459,AS-GRANDE,PeeringDB,2024-05-23
399005,AS-VOITVENTURES,PeeringDB,2024-05-23
50419,AS-EXASTACK,PeeringDB,2024-05-23
151387,AS-151387,PeeringDB,2024-05-23
151381,JPIRR::AS-CIRCLE,PeeringDB,2024-05-23
262316,AS-ATEKY,PeeringDB,2024-05-23
139989,AS139989:AS-ALL,PeeringDB,2024-05-23
212721,AS-212721,PeeringDB,2024-05-23
139766,AS139766,PeeringDB,2024-05-23
150385,AS150385:AS-HKN-BD,PeeringDB,2024-05-23
50340,AS-SELECTEL-MSK,PeeringDB,2024-05-23
55330,AS55330,PeeringDB,2024-05-23
135464,AS135464,PeeringDB,2024-05-23
38891,AS38891,PeeringDB,2024-05-23
131471,AS131471,PeeringDB,2024-05-23
10886,AS10886:AS-ALL,PeeringDB,2024-05-23
273150,AS-PIT-EC-IP,PeeringDB,2024-05-23
10881,AS10881:AS-ALL,PeeringDB,2024-05-23
204313,AS-PROXIMUS-IPX,PeeringDB,2024-05-23
131477,AS131477:AS-PRIME,PeeringDB,2024-05-23
149920,AS149920:AS-METRO-RB,PeeringDB,2024-05-23
149924,AS7713,PeeringDB,2024-05-23
203180,RIPE::AS203180:AS-ALL,PeeringDB,2024-05-23
50677,RIPE::AS-MSK910,PeeringDB,2024-05-23
199947,RIPE::AS-NEXUSWAY,PeeringDB,2024-05-23
60900,RIPE::AS60900:AS-MAIN,PeeringDB,2024-05-23
209703,AS209703:AS-ALL,PeeringDB,2024-05-23
50673,AS-SERVERIUS,PeeringDB,2024-05-23
50670,AS-VTEL,PeeringDB,2024-05-23
265500,AS-ALMEIRIMTELECOM-ALL,PeeringDB,2024-05-23
46138,AS46138:AS-DOWN,PeeringDB,2024-05-23
62079,AS-RAPIDIX,PeeringDB,2024-05-23
139981,AS139981:AS-MENAKSOPAL,PeeringDB,2024-05-23
212567,AS-FNMUC,PeeringDB,2024-05-23
151600,AS151600,PeeringDB,2024-05-23
210234,AS-IPV6LAB,PeeringDB,2024-05-23
151567,AS151567,PeeringDB,2024-05-23
212568,AS-LUXNET,PeeringDB,2024-05-23
24703,AS-UNITED,PeeringDB,2024-05-23
61232,AS-REDIT,PeeringDB,2024-05-23
61231,AS61231:AS-NEOS,PeeringDB,2024-05-23
213216,AS213216:AS-LXC,PeeringDB,2024-05-23
61237,AS61237,PeeringDB,2024-05-23
204050,RS-ADVERTISED,PeeringDB,2024-05-23
150168,AS-CHANDGAON-BD,PeeringDB,2024-05-23
63490,AS63490:AS-ARTHANET,PeeringDB,2024-05-23
213219,AS-VXSERVERS,PeeringDB,2024-05-23
398998,AS398998:AS-ALL,PeeringDB,2024-05-23
267507,AS267507:AS-LHOST,PeeringDB,2024-05-23
44529,RIPE::AS44529:AS-GEELY,PeeringDB,2024-05-23
267502,AS267502:AS-SSNETPROVEDOR,PeeringDB,2024-05-23
46131,AS-THEIPGUYS-NET-LLC-DBA-ONENET,PeeringDB,2024-05-23
267501,AS267501:AS-ALL,PeeringDB,2024-05-23
141492,AS141492:AS-CUSTOMERS,PeeringDB,2024-05-23
264679,AS264679:AS-NETLINK,PeeringDB,2024-05-23
6799,AS6799 AS6799:AS-TO-AIX AS-OTENET RIPE::AS-OTENET-V6,PeeringDB,2024-05-23
141331,AS141331:AS-CUSTOMERS,PeeringDB,2024-05-23
267508,AS267508,PeeringDB,2024-05-23
263143,AS263143:AS-HOUSEN,PeeringDB,2024-05-23
201133,RIPE::AS-VERDINA,PeeringDB,2024-05-23
327768,AS-SOMCAST,PeeringDB,2024-05-23
21470,AS21470,PeeringDB,2024-05-23
4725,RADB::AS-JAPAN-TELECOM RADB::AS-ODN-V6,PeeringDB,2024-05-23
327767,AS-ULS,PeeringDB,2024-05-23
327761,AFRINIC::AS-APT,PeeringDB,2024-05-23
204316,AS204316:AS-LINKBB-CUST,PeeringDB,2024-05-23
264675,AS264675:AS-264675,PeeringDB,2024-05-23
212425,RIPE::AS-FUBUKI,PeeringDB,2024-05-23
32220,AS-BELD,PeeringDB,2024-05-23
264902,AS-264902,PeeringDB,2024-05-23
150158,AS150158:AS-ALL,PeeringDB,2024-05-23
11280,AS-SNAPPY,PeeringDB,2024-05-23
11284,AS-DNS-BR:AS-C,PeeringDB,2024-05-23
201427,AS201427,PeeringDB,2024-05-23
212164,AS-HE,PeeringDB,2024-05-23
56824,AS-VEONET,PeeringDB,2024-05-23
264900,AS264900:AS-RJNET,PeeringDB,2024-05-23
17625,AS-17625-BLAZENET,PeeringDB,2024-05-23
21473,AS21473:AS-PFALZKOM,PeeringDB,2024-05-23
266830,AS266830:AS-AIRPOINT,PeeringDB,2024-05-23
139302,AS17557,PeeringDB,2024-05-23
3742,AS-SEMA,PeeringDB,2024-05-23
3741,RADB::AS-IS,PeeringDB,2024-05-23
4621,RADB::AS-UNINET,PeeringDB,2024-05-23
4622,AS-APJII-GLOBAL,PeeringDB,2024-05-23
40630,ARIN::AS40630:AS-ALL,PeeringDB,2024-05-23
13536,AS-TVC,PeeringDB,2024-05-23
4628,AS4628:AS-CUSTOMERS,PeeringDB,2024-05-23
13538,AS-NYIIX,PeeringDB,2024-05-23
265018,AS265018:AS-ALL,PeeringDB,2024-05-23
41827,AS-VIPNETIT,PeeringDB,2024-05-23
39647,AS-REDHOSTING,PeeringDB,2024-05-23
57662,AS-PB-SZ,PeeringDB,2024-05-23
136972,AS-GIGAFYAU,PeeringDB,2024-05-23
199099,AS-V6,PeeringDB,2024-05-23
329021,AS-SAVENET,PeeringDB,2024-05-23
28707,RIPE::AS-STUART,PeeringDB,2024-05-23
10464,AS10464:AS-ONENECK-CDF,PeeringDB,2024-05-23
11758,AS-IRIS-NETWORKS,PeeringDB,2024-05-23
16397,AS-EC-SP,PeeringDB,2024-05-23
19566,AS-PASON,PeeringDB,2024-05-23
51101,AS-REWOLUCJA-NET,PeeringDB,2024-05-23
28258,AS-VERO-INTERNET,PeeringDB,2024-05-23
20886,RIPE::AS-BLATZ RIPE::AS-BLATZ-V6,PeeringDB,2024-05-23
141592,AS-INFONUSA,PeeringDB,2024-05-23
11017,AS-CPN,PeeringDB,2024-05-23
52106,AS-GALATEA,PeeringDB,2024-05-23
141596,AS141596:AS-WISTEL,PeeringDB,2024-05-23
62502,AS-YEGIX-RS-CLIENTS,PeeringDB,2024-05-23
141840,AS-ZINET-IN,PeeringDB,2024-05-23
215111,AS215111:AS-NRFK,PeeringDB,2024-05-23
265819,AS265819,PeeringDB,2024-05-23
25540,AS-ALPHALINK,PeeringDB,2024-05-23
13289,AS-IWELT,PeeringDB,2024-05-23
25542,AS-DENIT,PeeringDB,2024-05-23
13287,AS-NIXVAL-TRANSIT,PeeringDB,2024-05-23
13285,AS-TALKTALK,PeeringDB,2024-05-23
13284,AS-BRT,PeeringDB,2024-05-23
173,AS-MAPOS,PeeringDB,2024-05-23
60011,AS-MYTHIC-USA,PeeringDB,2024-05-23
13280,AS-H3GIE,PeeringDB,2024-05-23
328267,AS328267,PeeringDB,2024-05-23
46652,AS46652,PeeringDB,2024-05-23
205705,AS-TSLUX,PeeringDB,2024-05-23
210098,AS-VECTRON,PeeringDB,2024-05-23
42339,RIPE::AS-CHTP,PeeringDB,2024-05-23
200557,AS200557:AS-ALL,PeeringDB,2024-05-23
140429,AS140429:AS-URBANACCESS-AS-ID,PeeringDB,2024-05-23
46307,AS-CENTAURINET,PeeringDB,2024-05-23
46308,AS-SUKHOI,PeeringDB,2024-05-23
46309,ALTDB::AS46309:AS-ALL,PeeringDB,2024-05-23
42337,RIPE::AS-RESPINA,PeeringDB,2024-05-23
42336,AS-BEELASTIC,PeeringDB,2024-05-23
210544,AS210544,PeeringDB,2024-05-23
42330,RIPE::AS-UNCHAINED,PeeringDB,2024-05-23
210546,AS-PLK,PeeringDB,2024-05-23
137667,AS137667:AS-SUSONIC,PeeringDB,2024-05-23
134152,AS-134152,PeeringDB,2024-05-23
45650,APNIC::AS45650:AS-CUSTOMERS,PeeringDB,2024-05-23
48229,AS48229,PeeringDB,2024-05-23
8613,AS-NETSERVUK,PeeringDB,2024-05-23
270540,AS270540:AS-WEBNET,PeeringDB,2024-05-23
48558,RIPE::AS48558,PeeringDB,2024-05-23
45305,AS45305:AS-LDP,PeeringDB,2024-05-23
41357,AS-34SP,PeeringDB,2024-05-23
41354,AS-ITSTG,PeeringDB,2024-05-23
399820,AS-ATMC,PeeringDB,2024-05-23
13460,ARIN::AS-EARTHCAM ARIN::RS-EARTHCAM,PeeringDB,2024-05-23
270548,AS-270548,PeeringDB,2024-05-23
48550,AS-SNAPSERV,PeeringDB,2024-05-23
328747,AS-328747,PeeringDB,2024-05-23
328744,AS-OPTICOM1,PeeringDB,2024-05-23
328745,AS-URBANWAVE,PeeringDB,2024-05-23
57080,AS-YOHAN-FRESNEAU,PeeringDB,2024-05-23
10397,RADB::AS-MOMENTUMTELECOM,PeeringDB,2024-05-23
137163,AS137163:AS-CUSTOMERS,PeeringDB,2024-05-23
58475,AS58475:AS-UNIVERSITAS-LAMBUNG-MANGKURAT,PeeringDB,2024-05-23
267830,AS267830:AS-WAYCOM,PeeringDB,2024-05-23
328748,AFRINIC::AS-AGILESP AFRINIC::RS-AGILESP,PeeringDB,2024-05-23
400919,AS400919:AS-ALL,PeeringDB,2024-05-23
44658,AS44658:AS-CRAB,PeeringDB,2024-05-23
198831,AS198831:AS-HOLYCLOUD,PeeringDB,2024-05-23
210890,RIPE::AS210890:AS-IT2GO,PeeringDB,2024-05-23
269153,TC::AS269153:AS-ANNOUNCEMENTS,PeeringDB,2024-05-23
202959,AS-JCOLP,PeeringDB,2024-05-23
16930,AS-IDLEPATTERN,PeeringDB,2024-05-23
202954,AS-RAPIDDOT,PeeringDB,2024-05-23
208905,AS-TAMARES-SET,PeeringDB,2024-05-23
44654,AS-MNS,PeeringDB,2024-05-23
44655,AS-METROLINE,PeeringDB,2024-05-23
202952,AS-BANDURA-COMMUNICATIONS-SET,PeeringDB,2024-05-23
139317,AS-ZXINC,PeeringDB,2024-05-23
265109,AS265109,PeeringDB,2024-05-23
207227,RIPE::AS-BOOT,PeeringDB,2024-05-23
12220,ARIN::AS-IEVOLVE,PeeringDB,2024-05-23
265100,AS-FSITELECOM,PeeringDB,2024-05-23
265102,AS-ARNETINTERNET,PeeringDB,2024-05-23
