ASN,ASN_NAME,SOURCE,ASOF_DATE
11427,TWC-11427-TEXAS,ASRank,2024-05-24
400282,UPX,ASRank,2024-05-24
23005,SWITCH-LTD,ASRank,2024-05-24
18229,CTRLS-AS-IN,ASRank,2024-05-24
4648,SPARK-NZ,ASRank,2024-05-24
3292,TDC,ASRank,2024-05-24
29314,VECTRANET-AS,ASRank,2024-05-24
45629,JASTEL-NETWORK-TH-AP,ASRank,2024-05-24
25091,IP-MAX,ASRank,2024-05-24
42337,RESPINA-AS,ASRank,2024-05-24
45117,INPL-IN-AP,ASRank,2024-05-24
9790,TWO-DEGREES-AS-AP,ASRank,2024-05-24
8953,ASN-ORANGE-ROMANIA,ASRank,2024-05-24
5713,SAIX-NET,ASRank,2024-05-24
3758,SINGNET,ASRank,2024-05-24
13293,PIONIER-AS-COM,ASRank,2024-05-24
201776,MIRANDA-AS,ASRank,2024-05-24
201706,AS-SERVICEPIPE,ASRank,2024-05-24
33657,CMCS,ASRank,2024-05-24
45296,NUSANTARA-AS-ID,ASRank,2024-05-24
42020,LibanTelecom,ASRank,2024-05-24
17378,AS17378,ASRank,2024-05-24
55176,QIX,ASRank,2024-05-24
55002,DEFENSE-NET,ASRank,2024-05-24
13194,BITE,ASRank,2024-05-24
58715,EARTHTELECOMMUNICATION-AS,ASRank,2024-05-24
59692,IQWEB,ASRank,2024-05-24
198949,VS-AS,ASRank,2024-05-24
4787,ASN-CBN,ASRank,2024-05-24
17665,ONEBROADBAND,ASRank,2024-05-24
7632,Linknet-Exchange-AS-ID,ASRank,2024-05-24
45903,CMCTELECOM-AS-VN,ASRank,2024-05-24
20055,AS-WHOLESAIL,ASRank,2024-05-24
50629,LWLCOM,ASRank,2024-05-24
6204,ZET,ASRank,2024-05-24
6079,RCN-AS,ASRank,2024-05-24
197563,GLOBALNETUA-AS,ASRank,2024-05-24
21949,BEANFIELD,ASRank,2024-05-24
28716,RETELIT-AS,ASRank,2024-05-24
4764,WIDEBAND-AS-AP,ASRank,2024-05-24
20001,TWC-20001-PACWEST,ASRank,2024-05-24
9009,M247,ASRank,2024-05-24
61135,COMNET-DATACENTER-ISTANBUL,ASRank,2024-05-24
36236,NETACTUATE,ASRank,2024-05-24
2854,ROSPRINT-AS,ASRank,2024-05-24
34224,NETERRA-AS,ASRank,2024-05-24
199524,GCORE,ASRank,2024-05-24
41798,TTC-AS,ASRank,2024-05-24
47605,FNE-AS,ASRank,2024-05-24
5606,GTS-BACKBONE,ASRank,2024-05-24
13249,ITS-UA,ASRank,2024-05-24
6768,EUROTEL-AS,ASRank,2024-05-24
208293,MOC-ALSALAM-AS,ASRank,2024-05-24
