IP_ADDR,RDNS,ASN,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,SOURCE,ASOF_DATE
80.249.208.108,ams-ix.bt.com.,5400,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.111,amsix.r1.ams1.isc.org.,30132,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.112,,41327,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.113,amsix.ae211.bor01.am3.eu.equinix.net.,15830,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.117,am-tpr-1-nl.mtnns.net.,16637,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.118,amsix.ac.nexellent.net.,31424,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.119,,31515,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.121,amsix.as6663.net.,6663,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.122,er1.ams1.nl.above.net.,6461,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.123,AMDGW2.arcor-ip.net.,3209,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.124,,19551,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.125,AMS-PE-1.megafonvolga.ru.,31133,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.126,lag4.br-ams.infra.novoserve.net.,24875,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.127,amsix1.eunetip.net.,6667,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.128,be1.lcr01.ams001.bb.fcom.ch.,15600,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.129,r01-nk-h140.ams.denhaag.nl.,29263,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.130,,13414,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.131,amsix.ixreach.com.,4455,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.135,,61599,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.138,,37282,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.139,xe-0-1-0-mx204-eqn-01.interconnect.nl.,9150,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.141,ams-ix-gw.idnet.net.uk.,12496,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.147,,199275,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.149,sara-amsix.caiw.net.,15435,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.150,TE-3-3.Border0.AMS.docler.net.,34655,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.151,,15133,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.152,nlams1-gdc-rt001-vl570.global-datacenter.nl.,39591,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.153,ams-ix.pictura-hosting.nl.,49820,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.154,ams-unet-nik-br01.unet.nl.,29396,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.156,,35467,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.157,jun02.amsix.ahm.gl-ix.net.,43190,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.158,ams-ix.infinitynetwork.ro.,56654,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.159,alr-dc1-rtr1-ae1.cambrium.net.,25596,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.160,lag-120.br1.po5.border.eircom.net.,5466,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.161,ams-ix.nl.plusline.net.,12306,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.162,,49544,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
80.249.208.164,v701-amsix-1-cr-01.th2.par.dailymotion.com.,41690,Amsterdam,Noord-Holland,NL,PCH,2024-05-24
